Compound,CSID
0.75_168.0426m/z,CSID133469
0.75_168.0426m/z,CSID25940664
0.72_476.0702m/z,CSID30790742
0.72_476.0702m/z,CSID390137
0.73_213.0154m/z,CSID10437748
0.73_213.0154m/z,CSID141630
0.73_213.0154m/z,CSID144747
0.73_213.0154m/z,CSID153452
0.73_213.0154m/z,CSID167346
0.73_213.0154m/z,CSID168361
0.73_213.0154m/z,CSID21427965
0.73_213.0154m/z,CSID21864837
0.73_213.0154m/z,CSID21865552
0.73_213.0154m/z,CSID21865814
0.73_213.0154m/z,CSID21865815
0.73_213.0154m/z,CSID278141
0.73_213.0154m/z,CSID30791622
0.73_213.0154m/z,CSID36
0.73_213.0154m/z,CSID388420
0.73_213.0154m/z,CSID388421
0.73_213.0154m/z,CSID388427
0.73_213.0154m/z,CSID388493
0.73_213.0154m/z,CSID388522
0.73_213.0154m/z,CSID388836
0.73_213.0154m/z,CSID388842
0.73_213.0154m/z,CSID388856
0.73_213.0154m/z,CSID388942
0.73_213.0154m/z,CSID388988
0.73_213.0154m/z,CSID389479
0.73_213.0154m/z,CSID389534
0.73_213.0154m/z,CSID389983
0.73_213.0154m/z,CSID391473
0.73_213.0154m/z,CSID4573592
0.73_213.0154m/z,CSID4573972
0.73_213.0154m/z,CSID544
0.73_213.0154m/z,CSID588
0.73_213.0154m/z,CSID607
0.73_213.0154m/z,CSID6760
0.73_213.0154m/z,CSID87703
0.73_213.0154m/z,CSID89904
0.73_213.0154m/z,CSID9096312
0.73_213.0154m/z,CSID92162
0.73_213.0154m/z,CSID9484818
0.75_425.0795m/z,CSID30776604
0.75_425.0795m/z,CSID4444615
0.75_425.0795m/z,CSID66162
0.75_425.0795m/z,CSID8630564
0.75_288.0854m/z,CSID2310118
0.75_288.0854m/z,CSID40198
0.75_288.0854m/z,CSID4563
0.75_288.0854m/z,CSID86397
0.70_349.9827n,CSID80981
0.73_140.0119m/z,CSID389626
0.73_140.0119m/z,CSID5736
0.73_140.0119m/z,CSID597
0.73_140.0119m/z,CSID64231
0.73_140.0119m/z,CSID990
0.92_407.0139m/z,CSID97126
0.73_533.0736m/z,CSID10482331
0.73_533.0736m/z,CSID30791415
0.73_533.0736m/z,CSID389079
0.95_252.0888m/z,CSID65151
1.03_386.0992m/z,CSID139683
1.03_386.0992m/z,CSID20145035
1.03_386.0992m/z,CSID34519
1.03_386.0992m/z,CSID4575389
1.03_386.0992m/z,CSID5188
1.03_386.0992m/z,CSID64486
1.03_386.0992m/z,CSID9827966
2.31_833.8774m/z,CSID50573
2.31_833.8774m/z,CSID59379
1.41_242.0775m/z,CSID16932
1.41_242.0775m/z,CSID29368601
1.41_242.0775m/z,CSID388874
1.41_242.0775m/z,CSID389637
1.41_242.0775m/z,CSID390074
1.41_242.0775m/z,CSID391761
1.41_242.0775m/z,CSID4713770
1.41_242.0775m/z,CSID5940
1.41_242.0775m/z,CSID6017
0.73_130.0507m/z,CSID114525
0.73_130.0507m/z,CSID134
0.73_130.0507m/z,CSID167744
0.73_130.0507m/z,CSID388519
0.73_130.0507m/z,CSID389003
0.73_130.0507m/z,CSID389028
0.73_130.0507m/z,CSID389029
0.73_130.0507m/z,CSID389081
0.73_130.0507m/z,CSID389475
0.73_130.0507m/z,CSID5447158
0.73_130.0507m/z,CSID5605
0.73_130.0507m/z,CSID62461
0.73_130.0507m/z,CSID68881
0.64_362.0834m/z,CSID13744
0.64_362.0834m/z,CSID31725
0.64_362.0834m/z,CSID3827
0.64_362.0834m/z,CSID389978
0.64_362.0834m/z,CSID43630
0.64_362.0834m/z,CSID4445411
0.64_362.0834m/z,CSID4479464
0.64_362.0834m/z,CSID59197
0.64_362.0834m/z,CSID64492
0.77_245.0428m/z,CSID167386
0.77_245.0428m/z,CSID16744232
0.77_245.0428m/z,CSID388716
0.77_245.0428m/z,CSID388990
0.77_245.0428m/z,CSID389816
0.77_245.0428m/z,CSID390153
0.77_245.0428m/z,CSID390207
0.77_245.0428m/z,CSID393212
0.77_245.0428m/z,CSID4659
0.77_245.0428m/z,CSID61391
0.77_245.0428m/z,CSID71754
0.73_275.0876m/z,CSID100482
0.73_275.0876m/z,CSID10470637
0.73_275.0876m/z,CSID13142
0.73_275.0876m/z,CSID144403
0.73_275.0876m/z,CSID152480
0.73_275.0876m/z,CSID2274931
0.73_275.0876m/z,CSID2297314
0.73_275.0876m/z,CSID24627
0.73_275.0876m/z,CSID28533317
0.73_275.0876m/z,CSID35550
0.73_275.0876m/z,CSID388598
0.73_275.0876m/z,CSID389222
0.73_275.0876m/z,CSID390746
0.73_275.0876m/z,CSID390780
0.73_275.0876m/z,CSID390781
0.73_275.0876m/z,CSID4474622
0.73_275.0876m/z,CSID4834178
0.73_275.0876m/z,CSID63119
0.73_275.0876m/z,CSID79667
0.73_275.0876m/z,CSID80527
0.73_275.0876m/z,CSID83831
0.73_275.0876m/z,CSID8418848
