"","unlist.path_gene2."
"1074","226830"
"1075","69726"
"1076","20937"
"1077","64707"
"1078","110147"
"1079","77683"
"1080","84505"
"1081","239122"
"1082","107303348"
"1083","110593"
"1084","14055"
"1085","14056"
"1086","18193"
"1087","107823"
"1088","234135"
"1089","74729"
"1090","235626"
"1091","208266"
"1092","67956"
"1093","225518"
"1094","232811"
"1095","225888"
"1096","192289"
"1101","170442"
"1102","18822"
"1103","26432"
"1104","26433"
"1105","234407"
"1106","269132"
"1109","12716"
"1110","12709"
"1111","12715"
"1112","76722"
"1113","242669"
"1114","75986"
"1115","18263"
"1116","332942"
"1121","76507"
"1122","228608"
"1128","338403"
"1129","66054"
"1130","107239"
"1131","20229"
"1132","69215"
"1140","18242"
"1141","209027"
"1142","69051"
"1143","66194"
"1144","19125"
"1146","56454"
"1147","66988"
"1148","18452"
"1149","18451"
"1150","320452"
"1151","56189"
"1154","67432"
"1156","67217"
"1157","15109"
"1158","243537"
"1159","71761"
"1160","14317"
"1161","15186"
"1169","140483"
"1178","67383"
"1189","15233"
"1190","14874"
"1191","14085"
"1192","22173"
"1193","21823"
"1194","13190"
"1195","22178"
"1196","13195"
"1197","13166"
"1198","18948"
"1214","22018"
"1219","68636"
"1220","17319"
"1221","18478"
"1232","240549"
"1242","107146"
"1243","64697"
"1244","56720"
"1245","15930"
"1246","209176"
"1247","71562"
"1248","98256"
"1249","70789"
"1250","107766"
"1251","266645"
"1252","237320"
"1266","21990"
"1267","216343"
"1280","107626"
"1281","11298"
"1285","21743"
"1291","12359"
"1300","73748"
"1330","56690"
"1335","246277"
"1337","211488"
"1338","207182"
"1339","71522"
"1340","14598"
"1341","23887"
"1343","68671"
"1344","28042"
"1345","99712"
"1346","13026"
"1347","236899"
"1348","212862"
"1353","50880"
"1354","50493"
"1355","232223"
"1356","26462"
"1360","20768"
"1361","109079"
"1362","214580"
"1363","211006"
"1364","216443"
"1365","212679"
"1369","217830"
"1375","110175"
"1376","69065"
"1377","68044"
"1378","75475"
"1383","16790"
"1384","14858"
"1385","14859"
"1386","14860"
"1387","14862"
"1388","14863"
"1389","14866"
"1390","14867"
"1391","14871"
"1392","14872"
"1393","14873"
"1394","14864"
"1395","66447"
"1396","14857"
"1397","56615"
"1398","68214"
"1399","68312"
"1400","14865"
"1401","211666"
"1402","103140"
"1403","75886"
"1404","14870"
"1405","14869"
"1406","225884"
"1407","76263"
"1408","54486"
"1409","68396"
"1410","66116"
"1411","100043497"
"1412","100504710"
"1413","93673"
"1414","14782"
"1420","66073"
"1421","14775"
"1422","14776"
"1423","14778"
"1424","14780"
"1425","67305"
"1426","75512"
"1427","69590"
"1428","625249"
"1443","14936"
"1444","232493"
"1445","27357"
"1446","74185"
"1447","19309"
"1448","110078"
"1449","110095"
"1450","77559"
"1451","11722"
"1452","100043684"
"1453","109959"
"1454","100043688"
"1455","100043686"
"1456","58866"
"1467","70974"
"1470","227697"
"1471","13478"
"1472","66248"
"1473","320302"
"1474","67574"
"1475","66789"
"1476","13480"
"1477","13481"
"1478","68563"
"1479","208211"
"1480","56737"
"1481","207958"
"1482","208624"
"1483","102580"
"1484","223774"
"1485","320438"
"1486","381903"
"1487","380959"
"1488","16430"
"1489","68292"
"1490","103963"
"1491","20014"
"1492","13135"
"1493","80286"
"1494","13200"
"1495","57170"
"1496","57377"
"1497","14376"
"1498","227619"
"1499","17155"
"1500","17156"
"1501","230815"
"1502","17308"
"1503","17158"
"1504","140481"
"1505","217664"
"1506","53618"
"1509","57370"
"1510","20440"
"1511","240119"
"1512","17309"
"1513","103534"
"1514","269181"
"1515","67555"
"1516","107895"
"1517","268510"
"1518","67569"
"1519","18010"
"1520","50877"
"1521","241159"
"1522","23956"
"1524","15211"
"1525","15212"
"1526","238023"
"1527","73744"
"1528","17159"
"1529","17160"
"1530","110173"
"1531","217364"
"1532","71665"
"1533","66848"
"1534","11593"
"1535","14466"
"1536","230101"
"1537","14423"
"1538","171212"
"1539","108760"
"1540","207839"
"1541","108150"
"1542","241391"
"1543","212996"
"1544","230145"
"1545","271786"
"1546","108148"
"1547","14426"
"1548","233733"
"1549","71685"
"1550","67909"
"1551","14425"
"1552","231050"
"1553","78754"
"1554","270049"
"1555","94192"
"1556","59048"
"1557","14537"
"1558","72077"
"1559","218476"
"1560","20442"
"1561","20444"
"1562","20445"
"1563","272411"
"1564","56336"
"1600","20441"
"1601","330406"
"1602","330671"
"1603","68947"
"1604","71367"
"1605","108155"
"1606","101351"
"1607","140484"
"1608","80294"
"1609","16848"
"1610","17305"
"1611","19719"
"1618","381694"
"1619","224143"
"1620","223827"
"1621","232313"
"1622","268880"
"1626","99011"
"1627","217734"
"1650","68273"
"1655","76898"
"1656","280645"
"1657","98388"
"1658","14348"
"1659","14345"
"1661","215494"
"1662","97884"
"1663","74653"
"1665","246179"
"1666","243853"
"1667","216395"
"1668","108902"
"1669","228366"
"1670","16795"
"1671","81600"
"1672","71884"
"1675","56174"
"1676","109785"
"1677","107652"
"1678","227620"
"1679","50798"
"1680","19703"
"1681","94181"
"1682","67311"
"1683","74091"
"1684","12764"
"1685","12763"
"1686","72017"
"1687","109754"
"1688","320635"
"1689","230582"
"1690","266690"
"1695","245847"
"1696","54342"
"1697","26384"
"1698","67980"
"1701","67883"
"1725","20690"
"1726","15586"
"1727","15587"
"1728","74468"
"1729","77042"
"1730","109685"
"1731","74409"
"1733","15931"
"1734","15932"
"1735","11881"
"1736","15442"
"1737","545291"
"1738","27029"
"1739","52120"
"1740","27419"
"1741","50917"
"1743","75612"
"1746","233781"
"1747","217119"
"1748","218271"
"1749","117592"
"1750","72727"
"1751","78752"
"1752","234356"
"1753","269941"
"1754","78923"
"1755","74241"
"1756","100910"
"1757","212898"
"1758","58250"
"1759","59031"
"1760","71797"
"1761","53374"
"1762","60322"
"1763","77590"
"1764","338362"
"1765","72136"
"1770","53625"
"1771","56773"
"1772","56375"
"1773","227327"
"1774","76969"
"1776","54371"
"1777","26887"
"1785","58193"
"1786","54616"
"1787","56219"
"1788","14042"
"1789","14043"
"1790","15531"
"1791","17423"
"1792","83398"
"1793","64580"
"1794","93683"
"1795","23908"
"1796","50785"
"1797","50786"
"1798","50787"
"1799","15476"
"1800","195646"
"1801","15478"
"1802","54710"
"1803","319415"
"1816","14933"
"1817","14626"
"1818","14732"
"1819","215456"
"1820","102247"
"1821","231510"
"1822","55979"
"1823","67512"
"1824","28169"
"1825","68262"
"1826","52123"
"1827","225010"
"1828","218121"
"1829","67216"
"1830","19012"
"1831","50784"
"1832","67916"
"1833","14245"
"1834","64899"
"1835","64898"
"1836","71910"
"1837","381925"
"1838","13139"
"1839","110197"
"1840","110524"
"1841","104418"
"1842","217480"
"1843","56077"
"1844","320127"
"1845","380921"
"1846","227333"
"1847","331374"
"1848","13350"
"1849","67800"
"1851","66853"
"1852","116939"
"1853","69060"
"1854","18946"
"1855","18947"
"1856","15450"
"1857","67717"
"1858","16891"
"1859","16956"
"1860","69923"
"1861","23945"
"1862","68393"
"1863","233549"
"1865","225326"
"1866","17772"
"1867","53332"
"1868","77116"
"1869","170749"
"1870","74302"
"1871","219135"
"1872","54384"
"1873","97287"
"1874","224020"
"1875","107650"
"1876","84095"
"1877","67073"
